02/08/2020,01:20,36473,ROSARIO CENTRAL (DRE_S),vs BAHIA (AU_GUSTO),2.65,3.75,2.38,1.55 1.27 1.45,- - -,- -
02/08/2020,01:20,92690,TOLIMA (CASSIANO_F),vs INDEPENDIENTE (VINICAI_),1.17,9.00,11.00,1.06 1.07 4.20,- - -,- -
02/08/2020,01:30,27978,LIBERTAD,vs GUARANI,1.96,3.50,3.60,1.27 1.28 1.74,2.60 2.19 4.20,1.73 1.96
02/08/2020,01:40,77283,FLUMINENSE (LIMA_R),vs UNIVERSITARIO (F_MATHI),1.54,5.20,4.60,1.20 1.17 2.33,- - -,- -
02/08/2020,01:40,11364,INDEPENDIENTE (VINICAI_),vs ALIANZA LIMA (LUIS_F),2.65,3.75,2.38,1.55 1.27 1.45,- - -,- -
02/08/2020,02:00,79132,INDY ELEVEN,vs SWOPE P. RANGERS,1.25,5.60,10.00,1.06 1.12 3.10,1.68 2.65 8.40,1.99 1.67
02/08/2020,02:00,50894,CAROLINA,vs BIRMINGHAM LEGION FC,1.92,3.50,3.70,1.25 1.27 1.74,2.48 2.26 4.10,1.61 2.08
02/08/2020,02:00,74259,PITTSBURGH,vs BETHLEHEM STEEL,1.10,8.00,21.00,1.02 1.05 4.50,1.43 3.05 15.00,2.60 1.39
02/08/2020,02:00,67428,BAHIA (AU_GUSTO),vs TOLIMA (CASSIANO_F),2.75,3.90,2.25,1.59 1.26 1.43,- - -,- -
02/08/2020,02:00,75869,COLO COLO (DDANIEL),vs ROSARIO CENTRAL (DRE_S),2.25,3.80,2.80,1.42 1.27 1.59,- - -,- -
02/08/2020,02:00,72378,MANAGUA FC,vs CD JUNIOR DE MANAGUA,1.30,5.20,10.00,1.07 1.15 3.15,- - -,2.23 1.58
02/08/2020,02:20,31120,ALIANZA LIMA (LUIS_F),vs TOLIMA (CASSIANO_F),4.60,5.20,1.54,2.33 1.17 1.20,- - -,- -
02/08/2020,02:20,78489,UNIVERSITARIO (F_MATHI),vs INDEPENDIENTE (VINICAI_),1.04,19.00,23.00,- - -,- - -,- -
02/08/2020,02:40,217679,COLO COLO (DDANIEL),vs BAHIA (AU_GUSTO),3.40,4.33,1.85,1.87 1.22 1.30,- - -,- -
02/08/2020,02:40,81771,ROSARIO CENTRAL (DRE_S),vs FLUMINENSE (LIMA_R),19.00,15.00,1.06,6.20 1.02 1.02,- - -,- -
02/08/2020,03:00,64402,TIGRES,vs PACHUCA,1.57,4.10,5.50,1.16 1.23 2.26,2.13 2.36 5.60,1.84 1.86
02/08/2020,03:00,10868,SAN JOSE,vs MINNESOTA UNITED,2.25,3.60,3.00,1.40 1.30 1.63,2.85 2.36 3.55,1.53 2.34
02/08/2020,03:00,62966,COLORADO SPRINGS SW.,vs REAL MONARCHS,2.60,3.50,2.45,1.48 1.27 1.43,3.10 2.32 2.95,1.49 2.33
02/08/2020,03:00,95185,OKC ENERGY FC,vs NEW MEXICO UNITED,2.60,3.50,2.45,1.48 1.28 1.43,3.10 2.31 2.95,1.49 2.32
02/08/2020,03:00,94915,BRAGANTINO,vs BOTAFOGO SP,1.40,4.33,7.00,1.10 1.18 2.48,1.94 2.32 7.00,2.06 1.63
02/08/2020,03:00,217622,BAHIA (AU_GUSTO),vs ALIANZA LIMA (LUIS_F),1.85,4.33,3.40,1.30 1.22 1.87,- - -,- -
02/08/2020,03:00,62241,TOLIMA (CASSIANO_F),vs UNIVERSITARIO (F_MATHI),3.15,4.33,1.96,1.78 1.23 1.35,- - -,- -
02/08/2020,03:20,51105,FLUMINENSE (LIMA_R),vs COLO COLO (DDANIEL),1.12,11.00,13.00,1.04 1.05 5.00,- - -,- -
02/08/2020,03:20,44750,INDEPENDIENTE (VINICAI_),vs ROSARIO CENTRAL (DRE_S),2.05,3.90,3.10,1.36 1.26 1.71,- - -,- -
02/08/2020,03:30,60950,MEMPHIS 901 FC,vs SAINT LOUIS,2.45,3.30,2.70,1.41 1.30 1.47,3.05 2.18 3.30,1.62 2.08
02/08/2020,03:40,17063,CR VASCO DA GAMA (DDANIEL),vs CR FLAMENGO RJ (LUIS_F),1.75,4.60,3.70,1.28 1.20 1.98,- - -,- -
02/08/2020,03:40,21517157,SAO PAULO FC SP (VINICAI_),vs BOTAFOGO FR RJ (F_MATHI),23.00,19.00,1.04,- - -,- - -,- -
02/08/2020,04:00,89192,AUSTIN BOLD FC,vs SAN ANTONIO,3.15,3.50,2.10,1.63 1.27 1.32,3.65 2.26 2.65,1.57 2.16
02/08/2020,04:00,91601,RIO GRANDE VALLEY,vs TULSA ROUGHNECKS,2.55,3.40,2.55,1.44 1.29 1.45,3.10 2.22 3.15,1.57 2.15
02/08/2020,04:00,14787,CR FLAMENGO RJ (LUIS_F),vs CORINTHINANS (AU_GUSTO),3.40,4.33,1.85,1.87 1.22 1.30,- - -,- -
02/08/2020,04:00,20170,SAO PAULO FC SP (VINICAI_),vs CR VASCO DA GAMA (DDANIEL),7.00,6.20,1.33,3.00 1.13 1.11,- - -,- -
02/08/2020,04:20,21770897,CORINTHINANS (AU_GUSTO),vs BOTAFOGO FR RJ (F_MATHI),7.00,6.20,1.33,3.00 1.13 1.11,- - -,- -
02/08/2020,04:20,78779,SAO PAULO FC SP (VINICAI_),vs CR FLAMENGO RJ (LUIS_F),2.65,3.75,2.38,1.55 1.27 1.45,- - -,- -
02/08/2020,04:40,19158,CR VASCO DA GAMA (DDANIEL),vs BOTAFOGO FR RJ (F_MATHI),13.00,11.00,1.12,5.00 1.05 1.04,- - -,- -
02/08/2020,04:40,14817,SAO PAULO FC SP (VINICAI_),vs CORINTHINANS (AU_GUSTO),8.50,8.00,1.22,3.70 1.09 1.08,- - -,- -
02/08/2020,04:40,88498,REAL MADRID (BOULEVARD_PROSPECT),vs FC BARCELONA (VRICO),2.90,2.38,3.00,1.31 1.45 1.33,- - -,- -
02/08/2020,04:52,94910,FC BARCELONA (VRICO),vs LIVERPOOL FC (ARCOS),3.30,2.65,2.38,1.45 1.38 1.27,- - -,- -
"",,,,,,3WAY,,DOUBLE CHANCE,1ST HALF 1X2,GG/NG
DATE,TIME,GAME ID,,MATCH,,,,,,
"",,,,,1,X,2,1X 12 X2,1 X 2,Yes No
02/08/2020,04:52,16742,MANCHESTER CITY FC (SKROMNUY),vs REAL MADRID (BOULEVARD_PROSPECT),3.10,2.70,2.45,1.43 1.37 1.30,- - -,- -
02/08/2020,05:00,65411,AMERICA,vs TIJUANA,1.75,3.90,4.33,1.22 1.26 1.98,2.31 2.37 4.70,1.65 2.11
02/08/2020,05:00,35628,SAN DIEGO LOYAL SC,vs SACRAMENTO REPUBLIC,2.80,3.50,2.25,1.54 1.27 1.38,3.30 2.32 2.80,1.49 2.34
02/08/2020,05:00,91277,BOTAFOGO FR RJ (F_MATHI),vs CR FLAMENGO RJ (LUIS_F),1.12,11.00,13.00,1.04 1.05 5.00,- - -,- -
02/08/2020,05:00,49116,WALTER FERRETI,vs REAL MADRIZ,1.73,3.70,4.75,1.20 1.27 2.00,- - -,2.09 1.67
02/08/2020,05:00,21724,ESTELI,vs DEPORTIVO OCOTAL,1.38,4.75,8.00,1.09 1.18 2.75,- - -,2.33 1.54
02/08/2020,05:04,99491,LIVERPOOL FC (ARCOS),vs MANCHESTER CITY FC (SKROMNUY),2.30,3.00,3.00,1.31 1.31 1.47,- - -,- -
02/08/2020,05:16,69685,MANCHESTER CITY FC (SKROMNUY),vs FC BARCELONA (VRICO),2.70,2.80,2.70,1.37 1.35 1.37,- - -,- -
02/08/2020,05:30,19193,NYC FC,vs PORTLAND,2.05,3.70,3.50,1.32 1.30 1.76,2.60 2.35 3.95,1.59 2.22
02/08/2020,05:30,64263,LAS VEGAS LIGHTS,vs RENO 1868 FC,2.70,3.60,2.30,1.52 1.27 1.41,3.20 2.34 2.85,1.47 2.37
02/08/2020,05:30,79674,PHOENIX RISING,vs EL PASO LOCOMOTIVE FC,1.50,4.20,5.80,1.13 1.19 2.28,1.95 2.50 5.60,1.63 2.05
02/08/2020,05:52,17558,REAL MADRID (BOULEVARD_PROSPECT),vs MANCHESTER CITY FC (SKROMNUY),2.45,2.70,3.10,1.30 1.37 1.43,- - -,- -
02/08/2020,05:52,47404,LIVERPOOL FC (ARCOS),vs FC BARCELONA (VRICO),2.38,2.65,3.30,1.27 1.38 1.45,- - -,- -
02/08/2020,06:16,67819,FC BARCELONA (VRICO),vs MANCHESTER CITY FC (SKROMNUY),2.70,2.80,2.70,1.37 1.35 1.37,- - -,- -
02/08/2020,06:28,21770851,REAL MADRID (BOULEVARD_PROSPECT),vs LIVERPOOL FC (ARCOS),2.65,2.60,3.00,1.32 1.40 1.38,- - -,- -
02/08/2020,07:30,69726,WOLLONGONG,vs DRUITT RANGERS,1.36,5.20,6.60,1.10 1.14 2.65,- - -,1.58 2.14
02/08/2020,07:30,21750799,BROADMEADOW,vs EDGEWORTH,3.10,3.80,2.00,1.67 1.24 1.32,- - -,1.37 2.70
02/08/2020,07:30,17623,ADAMSTOWN ROSEBUD,vs WESTON,5.20,4.80,1.46,2.33 1.16 1.15,- - -,1.51 2.30
02/08/2020,07:30,62866,CHARLESTOWN CITY BLUES,vs LAKE MACQUARIE,1.68,4.10,4.10,1.21 1.21 1.97,- - -,1.42 2.55
02/08/2020,07:30,97310,MAITLAND,vs VALENTINE,1.15,7.50,13.00,1.04 1.07 3.85,- - -,1.70 1.96
02/08/2020,08:00,40786,CONSADOLE S,vs VISSEL KOBE,2.50,3.60,2.70,1.47 1.30 1.54,3.05 2.33 3.30,1.55 2.30
02/08/2020,08:00,77658,SYDNEY UTD,vs SYDNEY OLYMPIC,2.05,3.60,3.10,1.32 1.26 1.64,- - -,1.49 2.33
02/08/2020,08:00,37103,COOMA,vs CANBERRA,2.05,4.10,2.88,1.36 1.22 1.65,- - -,1.38 2.70
02/08/2020,08:00,95307,GUNGAHLIN UNITED,vs BELCONNEN UNITED,2.25,4.00,2.60,1.43 1.23 1.55,- - -,1.38 2.65
02/08/2020,08:00,53137,PENINSULA,vs BRISBANE ROAR Y,1.76,4.60,3.40,1.28 1.18 1.88,- - -,1.26 3.30
02/08/2020,08:00,80368,NORTH STAR,vs BAYSIDE UNITED,10.00,7.50,1.18,3.75 1.08 1.06,- - -,1.49 2.40
02/08/2020,08:00,79330,BROADBEACH UNITED,vs VIRGINIA UNITED,3.15,4.50,1.78,1.78 1.17 1.28,- - -,1.32 2.85
02/08/2020,08:00,21770489,BUSAN I PARK SRL,vs ULSAN HYUNDAI FC SRL,4.60,3.75,1.68,1.97 1.24 1.18,4.80 2.35 2.19,1.64 2.04
02/08/2020,08:00,88520,GANGWON FC SRL,vs SANGJU SANGMU PHOENIX SRL,2.40,3.30,2.80,1.39 1.30 1.49,2.95 2.22 3.30,1.58 2.15
02/08/2020,08:00,47137,SUWON BLUEWINGS SRL,vs DAEGU FC SRL,3.15,3.25,2.20,1.57 1.31 1.32,3.85 2.07 2.90,1.78 1.85
02/08/2020,09:00,36626,GRULLA M,vs CEREZO OSAKA,2.40,3.30,2.70,1.40 1.29 1.49,- - -,1.62 2.08
02/08/2020,09:00,97878,SUNSHINE COAST WANDERERS,vs OLYMPIC,15.00,8.50,1.12,4.30 1.05 1.03,- - -,1.74 1.91
02/08/2020,09:00,90138,GOLD COAST,vs MORETON BAY,1.60,5.00,3.80,1.23 1.16 2.07,- - -,1.35 2.80
02/08/2020,09:00,44728,THE GAP,vs EASTERN SUBURBS,1.62,5.00,3.50,1.23 1.15 1.93,- - -,1.15 4.20
02/08/2020,09:30,26371,RUB FC KAZAN,vs EZ1 EZ1D 11,3.50,4.80,1.73,1.95 1.18 1.28,- - -,- -
02/08/2020,10:00,15023,ALBANY CREEK,vs TARINGA ROVERS,1.52,4.60,5.20,1.16 1.18 2.30,- - -,1.53 2.30
02/08/2020,10:00,37784,SOUTHS UNITED,vs CAPALABA FC,2.50,4.33,2.15,1.55 1.19 1.41,- - -,1.18 3.85
02/08/2020,10:00,10718,LEONESSA,vs ICHIHARA CHIBA,1.85,3.30,3.90,1.21 1.27 1.72,2.50 2.06 4.60,1.88 1.73
02/08/2020,10:00,68537,IMABARI,vs HACHNOHE,2.00,3.30,3.60,1.26 1.29 1.68,- - -,1.79 1.84
02/08/2020,10:00,99674,EHIME FC,vs KUNOICHI,2.80,3.30,2.30,1.48 1.27 1.35,3.50 2.08 3.00,1.71 1.90
02/08/2020,10:20,21172,RUB FC KAZAN,vs PSG SHEMYAKIN ONZE,1.73,4.33,3.80,1.25 1.21 1.95,- - -,- -
02/08/2020,10:45,76072,EZ1 EZ1D 11,vs DNK FC DIMONCHELLO,1.53,4.50,5.20,1.16 1.19 2.27,- - -,- -
02/08/2020,11:00,67391,YSCC YOKOHAMA,vs BLAUBLITZ A,3.50,3.60,1.92,1.74 1.26 1.27,- - -,1.53 2.23
02/08/2020,11:00,95236,SAGAMIHARA,vs KAGOSHIMA UTD,3.10,3.40,2.15,1.60 1.28 1.32,- - -,1.59 2.12
